City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Baguio City,5/26/2023,16.3,46.03,6.56,83.38,49.69,15.16,1.09,30.85,24.84,0.1,0.21,0.11,,
Baguio City,8/30/2023,16.6,39.78,13.93,124.57,77.59,10.65,1.38,48.92,30.25,0.11,0.25,0.13,,
Baguio City,1/14/2023,19.47,31.5,35.59,140.17,103.49,8.7,1.24,42.26,20.87,0.13,0.58,0.13,,
Baguio City,11/19/2023,14.44,46.46,9.48,106.1,64.14,9.27,1.43,15.29,26.24,0.12,0.25,0.1,,
Baguio City,6/7/2023,12.18,42.32,6.73,92.41,54.63,11.1,1.33,15.9,28.51,0.11,0.31,0.1,,
Baguio City,1/20/2023,15.65,41.01,9.63,94.51,58.1,13.66,1.45,11.75,26.07,0.12,0.22,0.1,,
Baguio City,2/6/2023,19.17,48.68,17.24,103.31,68.98,13.63,1.5,16.53,24.55,0.12,0.31,0.1,,
Baguio City,12/9/2023,13.73,44.37,36.87,121.38,94.54,11.21,1.25,39.68,21.18,0.1,0.25,0.13,,
Baguio City,9/16/2023,15.46,40.18,12.68,121.94,75.16,10.39,0.86,66.39,27.23,0.09,0.16,0.18,,
Baguio City,9/24/2023,17.84,33.99,14.96,113.39,72.47,7.38,0.78,9.43,20.07,0.11,0.23,0.13,,
Baguio City,7/21/2023,12.74,50.27,11.17,100.16,62.36,8.62,0.96,10.56,24.73,0.1,0.15,0.1,,
Baguio City,3/15/2023,18.91,46.53,5.83,71.61,42.84,15.19,0.5,10.52,24.22,0.08,0.08,0.1,,
Baguio City,6/22/2023,16.86,41.59,4.86,57.32,34.44,17.36,0.64,12.33,25.51,0.07,0.18,0.1,,
Baguio City,1/22/2023,20.6,33.25,2.91,58.43,33.44,17.38,0.44,12.91,26.84,0.1,0.12,0.1,,
Baguio City,11/20/2023,12.47,45.84,5.68,60.37,36.74,17.46,1.02,26.39,21.83,0.08,0.14,0.11,,
Baguio City,9/21/2023,13.4,52.49,3.49,50.62,29.77,17.97,0.7,6.49,24.73,0.08,0.13,0.1,,
Baguio City,1/2/2023,12.65,49.92,3.46,58.6,33.99,16.97,0.82,13.73,24.69,0.1,0.18,0.1,,
Baguio City,11/3/2023,11.58,36.67,5.64,63.17,38.2,18.79,0.8,26.75,21.59,0.08,0.15,0.1,,
Baguio City,1/2/2023,18,32.33,13.44,61.22,43.49,22.53,0.72,11.71,23.64,0.09,0.13,0.1,,
Baguio City,7/3/2023,17.31,41.08,17.23,71.77,52.18,17.22,0.91,16,22.52,0.07,0.11,0.1,,
Baguio City,1/30/2023,14.17,39.65,7.53,64.26,40.3,18.38,0.55,14.8,25.31,0.06,0.09,0.1,,
Baguio City,3/21/2023,20.01,39.91,20.01,60.14,48.26,20.43,0.85,13.57,24.82,0.06,0.08,0.1,,
Baguio City,12/16/2023,14.55,45.87,4.15,49.18,29.54,21.17,0.55,13.17,28.15,0.02,0.02,0.1,,
Baguio City,3/2/2023,20.71,48.53,6.36,43.14,28.2,20.36,0.87,11.48,20.37,0.04,0.04,0.1,,
Baguio City,9/10/2023,18.13,39.99,3.87,38.2,23.52,21.38,0.72,12.19,17.24,0.02,0.01,0.1,,
Baguio City,7/4/2023,15.36,47.08,2.65,22.75,14.26,22.92,0.38,8.37,19.39,0,0.02,0.1,,
Baguio City,2/19/2023,12.44,38.76,2.38,27.55,16.59,22.29,0.44,11.04,19.68,0.02,0.06,0.1,,
Baguio City,4/14/2023,18.16,42.86,5.29,55.79,34.06,17.58,1.28,15.66,20.15,0.06,0.12,0.11,,
Baguio City,12/1/2023,14.84,36.86,5.5,56.1,34.39,17.76,0.98,27.99,25.38,0.04,0.05,0.1,,
Baguio City,2/3/2023,11.97,42.2,5.98,65.34,39.69,17.61,1.02,26.84,36.53,0.03,0.08,0.15,,
Baguio City,12/9/2023,20.44,52.57,5.14,71.78,42.43,12.16,1.39,15.58,47.94,0.07,0.14,0.1,,
Baguio City,9/24/2023,11.72,50.15,5.4,68.18,40.73,15.31,1.06,13.42,47.46,0.06,0.36,0.11,,
Baguio City,3/26/2023,18.84,37.97,29.13,85.01,68.98,14.32,1.15,10.68,40.2,0.06,0.1,0.1,,
Baguio City,12/21/2023,12.88,49.02,6.08,69.13,41.71,13.58,1.27,17.71,48.7,0.06,0.1,0.1,,
Baguio City,10/12/2023,17.65,34.04,3.04,61.14,35.07,15.38,1.11,16.63,62.74,0.08,0.14,0.1,,
Baguio City,11/20/2023,13.55,41.25,13.08,83.44,55.08,14.61,1.58,12.92,43.18,0.08,0.19,0.1,,
Baguio City,11/30/2023,10.45,49.19,15.23,74.7,49.36,10.83,1.03,18.7,37.16,0.07,0.09,0.1,,
Baguio City,7/6/2023,13.49,52.11,7.69,25.85,20.1,10.97,0.74,12.37,32.23,0.05,0.06,0.1,,
Baguio City,9/19/2023,17.09,32.05,2.61,16.37,10.79,17.41,0.76,8.47,38.97,0,0,0.1,,
Baguio City,4/2/2023,19.91,48.28,6.38,23.26,17.36,16.81,0.86,16.7,34.16,0.01,0.05,0.14,,
Baguio City,3/10/2023,14.12,43.43,1.02,16.86,9.76,13.91,0.52,10.21,32.14,0.01,0.06,0.1,,
Baguio City,3/12/2023,20.38,34.79,3.19,17.12,11.14,16.46,0.66,10.22,39.91,0.01,0.02,0.1,,
Baguio City,11/27/2023,17.76,34.79,4.03,26.18,17.28,13.97,0.66,9.84,39.63,0.02,0.05,0.1,,
