Timestamp,AQI,PM2.5,PM10,NO2,CO,NO,NOx,NH3,SO2,O3,Benzene,Toluene,Xylene
2023-01-01,51.19199999999999,11.19,42.66,10.03,0.31,5.36,9.41,1.87,14.72,22.5,0.19,0.98,0.13
2023-01-01,45.611999999999995,20.07,38.01,61.22,0.72,13.44,43.49,22.53,11.71,23.64,0.09,0.13,0.1
2023-01-01,47.868,18.3,39.89,29.05,0.58,8.38,22.21,3.97,16.03,23.73,0.41,3.95,0.48
2023-01-01,56.016,10.84,46.68,26.2,0.34,5.24,18.29,2.44,23.89,26.88,0.2,1.2,0.11
2023-01-01,60.684,11.69,50.57,15.97,0.55,2.59,10.54,14.52,7.78,32.91,0.0,0.01,0.1
2023-01-01,55.12799999999999,15.2,45.94,15.8,0.78,2.19,10.17,15.74,9.56,35.44,0.92,2.46,0.12
2023-01-01,56.4,18.93,47.0,6.74,0.6,2.07,5.37,6.66,15.64,31.28,0.28,0.94,0.14
2023-01-01,53.124,14.51,44.27,8.02,0.47,2.41,5.87,6.06,9.11,29.02,1.46,3.2,0.2
2023-01-01,54.01199999999999,18.5,45.01,8.15,0.4,2.82,6.69,9.17,10.43,23.58,0.0,0.01,0.1
2023-01-01,51.372,11.19,42.81,15.8,0.78,2.19,10.17,15.74,9.56,35.44,0.92,2.46,0.12
2023-01-01,54.66,10.81,45.55,19.92,0.9,2.56,12.69,20.43,23.63,43.53,0.87,3.69,0.15
2023-01-01,40.362,19.22,32.5,14.32,0.81,2.7,9.89,10.74,15.71,37.44,0.16,2.7,0.14
2023-01-01,47.688,16.65,39.74,11.9,0.65,3.35,9.14,8.4,14.02,30.06,0.08,1.85,0.39
2023-01-01,44.796,12.56,37.33,60.37,1.02,5.68,36.74,17.46,26.39,21.83,0.08,0.14,0.11
2023-01-01,45.047999999999995,12.35,37.54,28.19,0.49,3.71,18.1,4.94,14.94,30.27,0.18,3.67,0.18
2023-01-01,57.91199999999999,19.34,48.26,121.94,0.86,12.68,75.16,10.39,66.39,27.23,0.09,0.16,0.18
2023-01-01,54.72,11.19,45.6,12.29,0.56,2.46,8.54,11.52,12.2,42.28,0.18,2.81,0.1
2023-01-01,56.97599999999999,15.35,47.48,22.53,0.68,4.9,15.96,13.61,12.58,36.02,0.76,4.92,0.16
2023-01-01,57.54,20.37,47.95,15.46,0.31,2.1,9.94,4.07,12.72,23.43,0.06,1.73,0.13
2023-01-01,59.75999999999999,10.07,49.8,19.35,0.45,4.74,14.24,5.9,19.19,31.87,0.44,16.07,0.39
2023-01-01,43.391999999999996,15.27,36.16,10.03,0.31,5.36,9.41,1.87,14.72,22.5,0.19,0.98,0.13
2023-01-01,62.232,14.1,51.86,25.22,0.62,8.27,20.23,2.46,16.24,22.99,0.23,1.38,0.59
2023-01-01,45.35999999999999,10.14,37.8,19.59,0.78,1.82,12.05,6.69,23.1,45.48,0.17,1.68,0.1
2023-01-01,45.936,14.61,38.28,13.27,0.8,2.41,9.11,10.84,15.36,60.81,0.28,3.78,0.11
2023-01-01,58.068,12.22,48.39,19.92,0.9,2.56,12.69,20.43,23.63,43.53,0.87,3.69,0.15
2023-01-01,47.843999999999994,18.13,39.87,13.59,0.56,7.47,13.38,7.71,10.99,21.12,1.17,4.07,0.33
2023-01-01,64.14,10.23,53.45,24.78,1.04,4.35,16.8,13.37,15.74,47.62,0.58,5.05,0.22
2023-01-01,60.504,10.47,50.42,14.81,0.83,3.06,10.46,20.71,14.99,56.45,0.36,1.69,0.11
2023-01-01,40.005,19.05,31.56,21.1,0.92,2.82,13.61,11.88,19.3,55.76,0.71,6.18,0.2
2023-01-01,48.072,13.44,40.06,9.07,0.52,2.49,6.97,11.97,11.04,33.63,0.0,0.01,0.1
2023-01-01,44.424,18.87,37.02,13.1,0.55,2.22,8.77,14.38,13.87,41.66,0.44,12.72,0.1
2023-01-01,56.772,12.49,47.31,7.03,0.76,1.42,4.48,4.36,10.88,38.75,0.8,1.6,0.15
2023-01-01,54.9,19.68,45.75,16.68,0.93,3.02,11.42,10.46,10.82,59.48,0.36,2.64,0.24
2023-01-01,54.456,16.34,45.38,16.88,0.66,1.97,10.58,5.65,16.4,34.16,0.38,1.13,0.11
2023-01-01,58.74,18.02,48.95,14.32,0.81,2.7,9.89,10.74,15.71,37.44,0.16,2.7,0.14
2023-01-01,46.632,19.48,38.86,20.42,0.91,4.33,14.47,10.74,11.84,34.42,0.22,2.58,0.16
2023-01-01,46.848,17.29,39.04,83.38,1.09,6.56,49.69,15.16,30.85,24.84,0.1,0.21,0.11
2023-01-01,38.052,13.93,31.71,27.54,0.95,1.54,15.99,3.61,17.17,42.88,0.17,2.37,0.24
2023-01-01,47.652,11.99,39.71,121.94,0.86,12.68,75.16,10.39,66.39,27.23,0.09,0.16,0.18
2023-01-01,60.42,12.38,50.35,19.98,0.7,1.7,12.12,6.69,24.2,42.21,0.14,1.32,0.11
